上海,上海懿天网络科技有限公司,"年底双薪,股票期权,帅哥多,扁平管理",Python图像处理开发工程师,15k-25k,"移动互联网,文化娱乐/A轮",本科/1-3年
上海,上海迈外迪网络科技有限公司,"岗位晋升,技能培训,管理规范,领导好",高级Python工程师,12k-22k,"移动互联网,O2O/D轮及以上",本科/3-5年
上海,欢唱网络科技（上海）有限公司,"扁平管理,年度旅游,技能培训,岗位晋升",高级Python工程师,14k-28k,文化娱乐/A轮,本科/3-5年
上海,上海脉策数据科技有限公司,"年底双薪,股票期权,午餐补助,定期体检",Python 工程师,15k-30k,"数据服务,企业服务/A轮",本科/1-3年
上海,上海炫体信息科技有限公司,"节日礼物,年底双薪,专项奖金,带薪年假",Python（年轻人的狂欢）,12k-20k,"移动互联网,社交网络/不需要融资",大专/1-3年
上海,上海泛微网络科技股份有限公司,"技能培训,带薪年假,绩效奖金,岗位晋升",运维工程师（python自动化运维）,6k-12k,"移动互联网,企业服务/上市公司",本科/1-3年
上海,上海层峰网络科技有限公司,"五险一金,岗位晋升,年度旅游,定期体检",python架构师,25k-35k,"数据服务,移动互联网/B轮",本科/5-10年
上海,内蒙古君正互联网小额贷款有限公司,,软件工程师（Python方向）,20k-30k,金融/不需要融资,本科/3-5年
上海,学慧帮（上海）企业管理咨询有限公司,"带薪年假,领导好,美女多",Python Developer,15k-20k,企业服务/不需要融资,本科/1-3年
上海,北京千锋互联科技有限公司,"节日礼物,专项奖金,股票期权,带薪年假",python讲师,20k-40k,移动互联网/A轮,大专/1-3年
上海,飞榴（上海）信息科技有限公司,"带薪年假,股票期权,绩效奖金,五险一金",Python开发工程师,10k-20k,"移动互联网,数据服务/A轮",本科/1-3年
上海,中文在线数字出版集团股份有限公司,"年底双薪,股票期权,绩效奖金,带薪年假",Python开发工程师(000638),10k-20k,"教育,文化娱乐/上市公司",本科/3-5年
上海,高升控股股份有限公司,"午餐补助,通讯津贴,带薪年假,专项奖金",python开发工程师,15k-25k,"企业服务,数据服务/上市公司",本科/1-3年
上海,思满软件科技（上海）有限公司,,Python,15K-30K,"移动互联网,企业服务/不需要融资",本科/1-3年
上海,拉扎斯网络科技（上海）有限公司,"节日礼物,绩效奖金,年度旅游,岗位晋升",资深／高级Python工程师,16k-32k,移动互联网/D轮及以上,本科/3-5年
上海,东吴（苏州）金融科技有限公司,,高级Python工程师,15k-30k,"金融,移动互联网/A轮",本科/3-5年
上海,上海灵兮信息科技有限公司,"节日礼物,股票期权,带薪年假,年度旅游",Python 开发工程师,6k-12k,"移动互联网,企业服务/A轮",本科/1年以下
上海,上海珩灵智能科技有限公司,,Python后端工程师,15k-20k,移动互联网/不需要融资,本科/3-5年
上海,杭州轻触科技有限公司,"年底双薪,带薪年假,节日礼物,领导好",python开发工程师,10k-20k,"企业服务,移动互联网/不需要融资",大专/不限
上海,上海微科数据科技有限公司,"专项奖金,扁平管理,领导好,技能培训",Python软件工程师,10k-20k,"金融,数据服务/不需要融资",本科/3-5年
上海,北京爱奇艺科技有限公司,"绩效奖金,五险一金,交通补助,带薪年假",Python高级开发工程师,18k-30k,"广告营销,文化娱乐/D轮及以上",本科/3-5年
上海,上海酷犇网络科技有限公司,,python 开发工程师,10k-20k,"移动互联网,金融/天使轮",本科/1-3年
上海,微瞰智能科技（上海）有限公司,"股票期权,绩效奖金,年终分红,弹性工作",Python 运维工程师,10k-15k,"数据服务,医疗健康/天使轮",本科/1-3年
上海,上海十露盘科技有限公司,,Python工程师/ 爬虫工程师,15k-25k,"数据服务,金融/天使轮",本科/3-5年
上海,上海基分文化传播有限公司,"专项奖金,带薪年假,弹性工作,管理规范",python开发（内容审核）,15k-30k,移动互联网/不需要融资,本科/1-3年
上海,上海宏路数据技术股份有限公司,"绩效奖金,五险一金,带薪年假,年度旅游",Python开发工程师,7k-14k,移动互联网/上市公司,不限/不限
上海,全美在线（北京）教育科技股份有限公司,"定期体检,午餐补助,带薪年假,六险一金",python开发工程师,7k-10k,"教育,移动互联网/上市公司",本科/1年以下
上海,上海医时信息科技有限公司,"专项奖金,年底双薪,美女多,帅哥多",Python,8k-15k,"移动互联网,医疗健康/A轮",不限/1年以下
上海,阿基米德（上海）传媒有限公司,"年底双薪,带薪年假,绩效奖金,扁平管理",Python软件开发工程师,15k-22k,"移动互联网,电子商务/B轮",本科/1-3年
上海,行吟信息科技（上海）有限公司,"年度旅游,节日礼物,专项奖金,带薪年假",Python开发工程师,20k-40k,"生活服务,电子商务/C轮",本科/1-3年
上海,北京融康惠众健康管理有限公司,"""""",Python工程师,8k-15k,医疗健康/未融资,不限/1-3年
上海,深圳市雁联计算系统有限公司,"节日礼物,技能培训,带薪年假,绩效奖金",Python开发工程师,10k-17k,金融/不需要融资,本科/1-3年
上海,上海云深网络技术有限公司,"技能培训,节日礼物,扁平管理,五险一金",Python开发工程师,7k-14k,"移动互联网,硬件/A轮",本科/1-3年
上海,上海基分文化传播有限公司,"专项奖金,带薪年假,弹性工作,管理规范",python开发（内容审核）,15k-30k,移动互联网/不需要融资,本科/1-3年
上海,拉扎斯网络科技（上海）有限公司,"节日礼物,绩效奖金,年度旅游,岗位晋升",Python开发工程师,13k-26k,移动互联网/D轮及以上,本科/1-3年
